z	10 mm Bz	10 mm Br	28 mm Bz	28 mm Br	48 mm Bz	48 mm Br	68 mm Bz	68 mm Br	88 mm Bz	88 mm Br
-1382.7	-0.00049819	-0.00010363	-0.00049538	-0.00017866	-0.00050131	-0.00024926	-0.00050357	-0.00032677	-0.00025519	-2.4003e-05
-1381.8	-0.00048332	-0.00010435	-0.00048057	-0.00017941	-0.0004865	-0.00024943	-0.0004889	-0.00032734	-0.00024604	-2.4412e-05
-1380.9	-0.00046838	-0.00010485	-0.00046566	-0.00018071	-0.00047159	-0.00025079	-0.00047415	-0.00032918	-0.00023666	-2.5037e-05
-1380.0	-0.00045341	-0.0001051	-0.00045077	-0.00018039	-0.0004567	-0.0002506	-0.00045932	-0.00033081	-0.00022745	-2.4577e-05
-1379.1	-0.0004384	-0.00010532	-0.00043574	-0.00018205	-0.0004417	-0.00025249	-0.00044443	-0.00033211	-0.00021833	-2.4345e-05
-1378.2	-0.00042331	-0.00010591	-0.00042068	-0.00018253	-0.00042664	-0.00025333	-0.00042947	-0.0003338	-0.00020911	-2.4616e-05
-1377.3	-0.00040816	-0.00010637	-0.00040552	-0.00018367	-0.00041149	-0.00025498	-0.00041446	-0.00033508	-0.00019974	-2.5011e-05
-1376.4	-0.00039299	-0.00010647	-0.00039034	-0.00018389	-0.00039631	-0.00025549	-0.00039941	-0.00033575	-0.00019003	-2.5916e-05
-1375.5	-0.00037776	-0.00010687	-0.00037505	-0.00018526	-0.00038103	-0.00025719	-0.00038425	-0.00033822	-0.00018013	-2.6429e-05
-1374.6	-0.00036246	-0.00010739	-0.00035958	-0.00018748	-0.00036559	-0.00025974	-0.00036898	-0.00034064	-0.00016997	-2.7123e-05
-1373.7	-0.00034712	-0.00010769	-0.00034408	-0.00018778	-0.00035012	-0.0002603	-0.00035366	-0.00034194	-0.00015995	-2.672e-05
-1372.8	-0.00033166	-0.00010852	-0.00032845	-0.0001893	-0.00033451	-0.00026254	-0.00033826	-0.0003435	-0.00015021	-2.6002e-05
-1371.9	-0.00031611	-0.00010915	-0.00031282	-0.0001894	-0.0003189	-0.00026273	-0.0003228	-0.00034499	-0.00014053	-2.5844e-05
-1371.0	-0.0003004	-0.00011025	-0.00029713	-0.00019008	-0.00030322	-0.00026387	-0.00030732	-0.00034551	-0.00013047	-2.6852e-05
-1370.1	-0.00028461	-0.00011083	-0.00028139	-0.00019074	-0.00028749	-0.00026477	-0.00029179	-0.00034644	-0.00011997	-2.802e-05
-1369.2	-0.00026871	-0.0001116	-0.0002656	-0.00019138	-0.0002717	-0.00026576	-0.00027623	-0.00034709	-0.00010911	-2.8999e-05
-1368.3	-0.00025279	-0.00011172	-0.00024978	-0.00019168	-0.00025586	-0.00026659	-0.00026057	-0.00034955	-9.8064e-05	-2.9473e-05
-1367.4	-0.00023686	-0.00011181	-0.00023403	-0.00019072	-0.00024007	-0.00026598	-0.00024488	-0.00035014	-8.7358e-05	-2.8573e-05
-1366.5	-0.00022087	-0.00011225	-0.00021822	-0.00019162	-0.00022419	-0.00026764	-0.00022906	-0.00035297	-7.7323e-05	-2.6784e-05
-1365.6	-0.00020488	-0.00011224	-0.00020239	-0.00019181	-0.00020832	-0.00026726	-0.00021314	-0.00035511	-6.7207e-05	-2.7e-05
-1364.7	-0.00018887	-0.00011233	-0.00018651	-0.00019241	-0.00019244	-0.00026745	-0.00019717	-0.00035638	-5.705e-05	-2.7111e-05
-1363.8	-0.00017266	-0.00011378	-0.00017049	-0.00019408	-0.00017641	-0.00026969	-0.00018114	-0.00035765	-4.6626e-05	-2.7822e-05
-1362.9	-0.00015641	-0.0001141	-0.00015439	-0.00019504	-0.00016035	-0.00027019	-0.00016508	-0.00035843	-3.6274e-05	-2.7629e-05
-1362.0	-0.00014006	-0.00011475	-0.00013819	-0.00019628	-0.00014417	-0.0002722	-0.00014896	-0.00035961	-2.6007e-05	-2.7403e-05
-1361.1	-0.00012364	-0.00011524	-0.00012179	-0.00019869	-0.00012782	-0.00027501	-0.0001327	-0.00036283	-1.5551e-05	-2.7909e-05
-1360.2	-0.00010717	-0.00011558	-0.00010527	-0.00020021	-0.00011135	-0.00027693	-0.00011641	-0.00036342	-4.7913e-06	-2.8718e-05
-1359.3	-9.0624e-05	-0.00011614	-8.8671e-05	-0.0002011	-9.4816e-05	-0.00027801	-0.00010008	-0.00036443	6.1526e-06	-2.921e-05
-1358.4	-7.4041e-05	-0.00011639	-7.2015e-05	-0.0002018	-7.8203e-05	-0.0002794	-8.3709e-05	-0.0003652	1.7147e-05	-2.9345e-05
-1357.5	-5.7343e-05	-0.0001172	-5.5374e-05	-0.00020162	-6.1569e-05	-0.00027995	-6.7314e-05	-0.00036582	2.7365e-05	-2.7272e-05
-1356.6	-4.0595e-05	-0.00011755	-3.8778e-05	-0.00020108	-4.4935e-05	-0.00028017	-5.0917e-05	-0.00036586	3.7282e-05	-2.6469e-05
-1355.7	-2.3859e-05	-0.00011746	-2.2145e-05	-0.00020153	-2.8282e-05	-0.00028039	-3.4432e-05	-0.00036781	4.7544e-05	-2.7391e-05
-1354.8	-7.0166e-06	-0.00011821	-5.3358e-06	-0.00020366	-1.149e-05	-0.00028255	-1.7861e-05	-0.00036974	5.7532e-05	-2.6658e-05
-1353.9	9.8527e-06	-0.0001184	1.1462e-05	-0.00020352	5.2733e-06	-0.00028199	-1.1804e-06	-0.00037219	6.8053e-05	-2.8081e-05
-1353.0	2.6763e-05	-0.00011869	2.8249e-05	-0.00020339	2.2025e-05	-0.00028178	1.5572e-05	-0.0003738	7.8805e-05	-2.87e-05
-1352.1	4.3732e-05	-0.0001191	4.5115e-05	-0.00020435	3.8878e-05	-0.0002836	3.2408e-05	-0.00037564	8.9818e-05	-2.9393e-05
-1351.2	6.0764e-05	-0.00011954	6.2047e-05	-0.00020515	5.5846e-05	-0.00028579	4.9319e-05	-0.00037733	0.00010037	-2.8162e-05
-1350.3	7.7837e-05	-0.00011983	7.9151e-05	-0.00020724	7.2953e-05	-0.00028794	6.6277e-05	-0.00037837	0.00011065	-2.7436e-05
-1349.4	9.5043e-05	-0.00012077	9.6483e-05	-0.00021	9.025e-05	-0.00029095	8.3333e-05	-0.00038056	0.00012124	-2.8282e-05
-1348.5	0.00011229	-0.00012104	0.00011386	-0.00021058	0.00010759	-0.00029177	0.00010043	-0.0003815	0.00013195	-2.856e-05
-1347.6	0.00012959	-0.00012143	0.0001313	-0.00021122	0.00012502	-0.00029325	0.00011764	-0.00038409	0.0001433	-3.0316e-05
-1346.7	0.00014707	-0.00012268	0.00014882	-0.00021227	0.00014253	-0.0002947	0.00013497	-0.00038667	0.00015481	-3.0712e-05
-1345.8	0.0001646	-0.00012305	0.00016629	-0.00021168	0.00016003	-0.00029462	0.00015231	-0.00038672	0.00016618	-3.0349e-05
-1344.9	0.00018224	-0.00012384	0.00018382	-0.00021244	0.00017763	-0.00029662	0.00016977	-0.00038961	0.00017753	-3.0279e-05
-1344.0	0.00019994	-0.00012422	0.00020136	-0.00021248	0.00019526	-0.00029713	0.00018725	-0.00039017	0.00018885	-3.0229e-05
-1343.1	0.00021764	-0.00012423	0.00021893	-0.00021291	0.00021289	-0.00029722	0.00020474	-0.00039022	0.00019973	-2.9041e-05
-1342.2	0.00023546	-0.00012505	0.00023661	-0.00021424	0.00023062	-0.00029861	0.00022236	-0.00039296	0.00021057	-2.8938e-05
-1341.3	0.00025332	-0.00012534	0.00025439	-0.00021537	0.00024843	-0.00029985	0.00024	-0.00039376	0.00022133	-2.8715e-05
-1340.4	0.0002712	-0.00012551	0.00027226	-0.00021658	0.00026629	-0.00030051	0.00025773	-0.00039551	0.0002327	-3.0353e-05
-1339.5	0.00028912	-0.0001258	0.00029031	-0.00021866	0.00028428	-0.00030264	0.00027554	-0.00039733	0.00024425	-3.0813e-05
-1338.6	0.00030711	-0.00012627	0.00030839	-0.00021911	0.0003023	-0.00030286	0.00029342	-0.00039911	0.00025601	-3.1396e-05
-1337.7	0.00032523	-0.00012715	0.00032658	-0.00022037	0.00032042	-0.00030466	0.00031141	-0.00040123	0.00026801	-3.2036e-05
-1336.8	0.00034338	-0.0001274	0.00034489	-0.00022183	0.00033867	-0.00030692	0.00032949	-0.00040352	0.00028005	-3.2122e-05
-1335.9	0.00036162	-0.00012805	0.0003633	-0.00022303	0.00035704	-0.00030912	0.00034765	-0.00040521	0.00029199	-3.1866e-05
-1335.0	0.00037995	-0.00012861	0.00038174	-0.0002234	0.00037545	-0.00030957	0.00036578	-0.00040456	0.0003033	-3.0192e-05
-1334.1	0.00039834	-0.00012911	0.00040021	-0.00022381	0.00039388	-0.00031014	0.00038399	-0.00040613	0.00031462	-3.0212e-05
-1333.2	0.00041688	-0.00013007	0.00041875	-0.00022461	0.0004124	-0.00031146	0.00040228	-0.00040825	0.00032625	-3.1056e-05
-1332.3	0.00043539	-0.00012993	0.00043716	-0.00022313	0.00043079	-0.00030951	0.00042054	-0.00040741	0.00033813	-3.1698e-05
-1331.4	0.00045402	-0.00013075	0.00045567	-0.00022424	0.00044929	-0.00031124	0.00043893	-0.00041021	0.00035005	-3.1801e-05
-1330.5	0.00047272	-0.00013128	0.00047425	-0.00022504	0.00046784	-0.00031226	0.00045745	-0.00041329	0.00036214	-3.2291e-05
-1329.6	0.00049145	-0.00013145	0.00049285	-0.00022541	0.00048642	-0.00031259	0.00047599	-0.00041369	0.00037436	-3.2609e-05
-1328.8	0.00051031	-0.00013241	0.00051158	-0.00022695	0.00050511	-0.00031434	0.00049465	-0.00041638	0.00038641	-3.2162e-05
-1327.9	0.00052929	-0.00013315	0.00053042	-0.00022823	0.00052393	-0.00031659	0.00051344	-0.0004192	0.00039837	-3.1932e-05
-1327.0	0.00054831	-0.00013356	0.00054936	-0.00022949	0.00054287	-0.00031892	0.00053232	-0.00042119	0.00041006	-3.1197e-05
-1326.1	0.00056738	-0.00013381	0.0005684	-0.00023069	0.00056192	-0.0003206	0.00055127	-0.00042283	0.00042213	-3.2217e-05
-1325.2	0.00058659	-0.00013484	0.00058755	-0.00023202	0.00058108	-0.00032259	0.00057029	-0.00042444	0.00043441	-3.2766e-05
-1324.3	0.00060584	-0.00013509	0.00060677	-0.00023293	0.00060031	-0.00032364	0.00058934	-0.00042502	0.00044684	-3.3174e-05
-1323.4	0.00062515	-0.00013551	0.00062613	-0.00023449	0.00061967	-0.00032603	0.00060849	-0.00042737	0.00045947	-3.3712e-05
-1322.5	0.00064445	-0.00013547	0.00064549	-0.00023456	0.00063905	-0.00032624	0.0006276	-0.00042645	0.00047209	-3.3698e-05
-1321.6	0.00066388	-0.00013638	0.00066491	-0.00023529	0.00065848	-0.00032717	0.00064675	-0.00042723	0.00048449	-3.3087e-05
-1320.7	0.00068354	-0.000138	0.00068449	-0.00023724	0.00067811	-0.00033046	0.00066612	-0.00043211	0.00049683	-3.2933e-05
-1319.8	0.00070312	-0.00013744	0.00070398	-0.00023619	0.00069765	-0.00032915	0.00068544	-0.00043107	0.00050925	-3.314e-05
-1318.9	0.0007228	-0.00013816	0.00072362	-0.00023799	0.00071731	-0.00033101	0.00070488	-0.00043376	0.00052185	-3.363e-05
-1318.0	0.00074267	-0.00013944	0.00074342	-0.00023981	0.00073711	-0.00033341	0.00072453	-0.00043847	0.00053427	-3.3168e-05
-1317.1	0.00076248	-0.00013901	0.00076322	-0.00023999	0.00075693	-0.00033356	0.00074412	-0.00043703	0.00054695	-3.3835e-05
-1316.2	0.00078244	-0.00014014	0.00078313	-0.00024119	0.00077682	-0.00033477	0.00076388	-0.00044093	0.00055975	-3.4166e-05
-1315.3	0.00080253	-0.00014098	0.00080314	-0.00024245	0.0007968	-0.00033604	0.00078371	-0.00044258	0.00057271	-3.4585e-05
-1314.4	0.00082263	-0.00014108	0.00082318	-0.00024278	0.0008168	-0.00033658	0.00080366	-0.00044512	0.00058552	-3.4196e-05
-1313.5	0.00084279	-0.00014148	0.00084333	-0.00024413	0.00083693	-0.00033867	0.00082371	-0.00044721	0.00059852	-3.47e-05
-1312.6	0.00086305	-0.00014221	0.00086364	-0.00024617	0.0008572	-0.0003409	0.00084386	-0.00044975	0.00061152	-3.4684e-05
-1311.7	0.00088332	-0.00014229	0.00088398	-0.00024633	0.00087751	-0.00034172	0.000864	-0.0004494	0.00062464	-3.5024e-05
-1310.8	0.00090363	-0.00014253	0.0009043	-0.00024623	0.00089782	-0.00034188	0.00088414	-0.00044932	0.00063764	-3.4697e-05
-1309.9	0.00092417	-0.00014418	0.0009248	-0.00024834	0.00091829	-0.00034442	0.00090446	-0.00045326	0.00065034	-3.3892e-05
-1309.0	0.00094468	-0.00014395	0.00094526	-0.00024795	0.00093874	-0.00034403	0.00092477	-0.00045325	0.00066316	-3.4239e-05
-1308.1	0.00096521	-0.00014407	0.0009657	-0.0002477	0.00095914	-0.00034326	0.00094507	-0.00045293	0.00067616	-3.4676e-05
-1307.2	0.00098595	-0.00014557	0.00098641	-0.00025089	0.0009798	-0.00034746	0.00096562	-0.00045863	0.00068923	-3.4888e-05
-1306.3	0.0010067	-0.00014533	0.001007	-0.00024984	0.0010004	-0.00034577	0.0009861	-0.00045698	0.0007026	-3.5697e-05
-1305.4	0.0010275	-0.00014598	0.0010278	-0.00025164	0.0010211	-0.00034853	0.0010067	-0.00046001	0.00071599	-3.5736e-05
-1304.5	0.0010483	-0.00014664	0.0010486	-0.00025257	0.0010419	-0.00035013	0.0010275	-0.00046274	0.00072943	-3.586e-05
-1303.6	0.0010693	-0.00014697	0.0010697	-0.00025487	0.0010628	-0.00035228	0.0010483	-0.00046442	0.00074282	-3.5757e-05
-1302.7	0.0010902	-0.00014714	0.0010908	-0.00025559	0.0010839	-0.00035349	0.0010692	-0.00046672	0.00075631	-3.5988e-05
